avg_monthly_hrs,department,last_evaluation,n_projects,salary,satisfaction,status,tenure,Agency,EmployeeName,age,rating,salary,fname,lname
276,product,0.570038733,4,low,0.382260201,Employed,2,"Norwalk, Oklahoma",MARTY ROSS,26,4.3,276434,MARTY,ROSS
154,marketing,,2,low,0.422224874,Left,3,"Huber Heights, California",ELLEN MOFFATT,43,3.5,274550,ELLEN,MOFFATT
259,product,0.763606786,2,low,0.787468037,Employed,3,"Redding, Iowa",VENUS AZAR,27,4,274190,VENUS,AZAR
136,marketing,,3,low,0.441057742,Employed,3,"Phenix City, North Carolina",JUDY MELINEK,35,4.5,273771,JUDY,MELINEK
176,IT,,3,low,0.871386304,Employed,3,"Arlington Heights, California",GEORGE GARCIA,21,4.1,273702,GEORGE,GARCIA
231,support,0.937508766,4,medium,0.668369478,Employed,3,"Plainfield, California",VICTOR WYRSCH,49,2.9,270672,VICTOR,WYRSCH
125,temp,,2,medium,,Employed,,"Sioux Falls, California",JOSEPH DRISCOLL,29,4.3,270324,JOSEPH,DRISCOLL
109,sales,0.79806866,3,low,0.537828341,Employed,3,"Compton, Michigan",GREGORY SUHR,26,4.4,267992,GREGORY,SUHR
130,procurement,0.71603037,6,low,0.175453989,Employed,6,"Pomona, Illinois",JOHN HANLEY,29,4.3,265784,JOHN,HANLEY
163,sales,0.550433959,2,medium,0.544376726,Employed,3,"Atlanta, California",RAYMOND GUZMAN,27,4.8,265463,RAYMOND,GUZMAN
67,temp,,1,low,,Employed,,"Macon, Texas",DENISE SCHMITT,20,4.1,264074,DENISE,SCHMITT
184,sales,0.762948071,4,medium,0.617610995,Employed,3,"Altamonte Springs, California",MONICA FIELDS,31,4,261366,MONICA,FIELDS
268,engineering,0.943844635,3,low,0.936081051,Employed,4,"Marysville, California",HARLAN KELLY-JR,32,4.5,260297,HARLAN,KELLY-JR
188,finance,0.862307682,3,medium,1,Employed,4,"Mentor, Massachusetts",DAVID SHINN,47,1.1,259927,DAVID,SHINN
107,engineering,0.474348552,2,medium,0.615676167,Employed,3,"Redlands, Florida",GARY AMELIO,24,4.4,259684,GARY,AMELIO
156,sales,0.621111081,3,medium,0.428014178,Employed,3,"Hamilton, Arizona",JOHN TURSI,29,4.1,258588,JOHN,TURSI
234,IT,0.861565035,4,medium,0.627199943,Employed,2,"Rowlett, Illinois",JOSE VELO,35,4.4,258364,JOSE,VELO
127,sales,,5,low,0.834380141,Employed,3,"San Jacinto, Texas",KHOA TRINH,22,4.5,257540,KHOA,TRINH
282,IT,0.723354974,5,medium,0.213991819,Employed,3,"Stillwater, Texas",SUSAN CURRIN,38,4.6,257124,SUSAN,CURRIN
133,sales,0.971212667,3,low,0.818819904,Employed,4,"Puyallup, Ohio",JAMES BOSCH,38,4.9,253269,JAMES,BOSCH
270,engineering,0.475292597,6,low,0.150336702,Employed,5,"Somerville, Virginia",JONES WONG,34,4.7,251935,JONES,WONG
184,,1,5,low,0.297124012,Employed,5,"Chandler, California",BRENDAN WARD,24,4.1,251685,BRENDAN,WARD
132,marketing,0.49501302,2,low,0.438559832,Left,3,"New Britain, California",MICHAEL THOMPSON,44,3.6,250595,MICHAEL,THOMPSON
126,support,0.821486565,3,low,0.772891198,Employed,10,"Tulare, New Jersey",THOMAS ABBOTT,35,4.2,250408,THOMAS,ABBOTT
139,product,0.856088543,4,medium,0.683456025,Employed,3,"Boca Raton, Colorado",THOMAS SIRAGUSA,33,4.8,250339,THOMAS,SIRAGUSA
308,engineering,0.863262837,7,medium,0.124350225,Left,4,"Monroe, Texas",MICHAEL THOMPSON,20,4,250317,MICHAEL,THOMPSON
70,temp,,3,low,,Employed,,"Brentwood, North Carolina",SHARON MCCOLE WICHER,33,4.4,250122,SHARON,MCCOLE
147,engineering,,2,low,0.401974707,Left,3,"Meriden, Arizona",EDWIN LEE,34,4.7,249375,EDWIN,LEE
274,support,0.842357313,5,medium,0.803068372,Left,6,"Laguna Niguel, Rhode Island",BRYAN RUBENSTEIN,35,4.8,249293,BRYAN,RUBENSTEIN
278,sales,0.766255776,7,low,0.148641754,Left,4,"Bristol, Ohio",TRENT RHORER,38,4,248895,TRENT,RHORER
156,engineering,0.988904842,4,medium,0.456248436,Employed,2,"Westland, Wisconsin",JAMES DUDLEY,45,1.9,248718,JAMES,DUDLEY
185,sales,0.598749269,4,low,0.869204284,Employed,2,"Marietta, Florida",KEN YEE,25,4.9,248434,KEN,YEE
263,sales,0.74494677,6,low,0.75962,Employed,6,"Lynwood, Minnesota",KIRK RICHARDSON,23,4.3,247254,KIRK,RICHARDSON
260,sales,0.765783959,5,low,0.711329117,Employed,3,"Norwich, Michigan",BARBARA GARCIA,25,4.1,246305,BARBARA,GARCIA
224,support,0.561019606,5,medium,0.905668552,Employed,2,"Duluth, Washington",MICHAEL ROLOVICH,27,4.5,244687,MICHAEL,ROLOVICH
224,sales,0.910270844,4,medium,0.615978244,Employed,10,"North Lauderdale, Wisconsin",DARRYL HUNTER,36,4.7,242742,DARRYL,HUNTER
135,sales,0.533361921,2,low,0.38807014,Left,3,"Boynton Beach, Massachusetts",RAY CRAWFORD,21,4.3,241286,RAY,CRAWFORD
147,marketing,0.713746664,2,low,0.967868021,Employed,3,"Lynwood, Virginia",KEVIN CASHMAN,40,1.2,241211,KEVIN,CASHMAN
245,engineering,0.932526594,7,medium,0.061173623,Left,4,"Spokane, Texas",BENJAMIN ROSENFIELD,39,4.5,240846,BENJAMIN,ROSENFIELD
203,product,0.494479275,3,medium,0.492376555,Employed,3,"San Jacinto, Utah",MARK KEARNEY,25,4.5,240019,MARK,KEARNEY
235,finance,0.735849779,4,high,0.928861452,Employed,2,"South Gate, Texas",DOUGLAS RIBA,28,4.9,239426,DOUGLAS,RIBA
187,IT,0.734682888,3,low,0.213485172,Employed,5,"Hurst, Hawaii",AI-KYUNG CHUNG,22,4.5,238879,AI-KYUNG,CHUNG
132,management,0.535231622,2,low,0.429822085,Left,3,"Brockton, Texas",KENNETH SMITH,30,4.4,238803,KENNETH,SMITH
258,product,0.813773773,7,low,0.146593185,Left,4,"Conroe, Florida",ANNA BROWN,44,3.6,238551,ANNA,BROWN
165,engineering,0.522047697,4,low,0.851394379,Employed,2,"Bend, Georgia",JAMES FAZACKERLEY,28,4.9,238501,JAMES,FAZACKERLEY
146,sales,0.531577279,2,low,0.401953819,Left,3,"Dothan, Washington",CHARLES CRANE,42,2.5,238479,CHARLES,CRANE
159,,0.69410072,3,low,0.556401859,Employed,3,"Biloxi, New Jersey",GREGORY MAR,21,4.3,237837,GREGORY,MAR
198,engineering,0.749982471,2,medium,0.526960725,Left,2,"Mission, California",RICHARD PARRY,47,1.6,237708,RICHARD,PARRY
159,marketing,0.483106968,2,low,0.43881927,Left,3,"Bonita Springs, Texas",ROBERT POSTEL,22,4.8,237344,ROBERT,POSTEL
275,product,0.573595902,2,low,0.894658513,Employed,3,"Costa Mesa, Florida",EDWARD ROLAND,27,4.7,236833,EDWARD,ROLAND
141,support,0.932462217,3,medium,0.810725322,Employed,3,"Orange, Massachusetts",THOMAS SHAWYER,47,3.4,236200,THOMAS,SHAWYER
173,finance,,4,low,0.862683386,Employed,3,"Mount Pleasant, Florida",WING CHAN,41,1,234865,WING,CHAN
203,sales,0.586132024,5,medium,0.703755789,Employed,2,"Parker, Michigan",GEORGE GASCON,33,4.7,234848,GEORGE,GASCON
203,engineering,0.606090193,4,low,0.274144974,Employed,5,"Alpharetta, Maryland",RICHARD BUSALACCHI,43,1,233944,RICHARD,BUSALACCHI
230,sales,0.801731336,5,medium,0.129582617,Employed,4,"Bloomington, California",LAWRENCE FREED,47,2.7,233464,LAWRENCE,FREED
168,sales,0.589119715,4,low,0.475901904,Employed,2,"St. Cloud, Nevada",MONIQUE MOYER,45,1.4,233357,MONIQUE,MOYER
183,IT,0.716132846,3,low,0.786998508,Employed,3,"New Berlin, California",ANTONIO FLORES,40,2.8,232702,ANTONIO,FLORES
246,support,0.328416715,5,medium,0.461553349,Employed,3,"Seattle, Texas",MARK GAMBLE,39,4.8,232486,MARK,GAMBLE
209,engineering,0.707901457,5,low,0.83158224,Employed,3,"Layton, Washington",KEVIN BURKE,43,2.8,232007,KEVIN,BURKE
224,sales,1,3,medium,0.527417463,Employed,6,"Wausau, Texas",BERT REYES,21,4.9,231712,BERT,REYES
143,support,0.583222824,2,low,0.47794849,Left,3,"Pawtucket, Pennsylvania",MICHAEL DELANE,24,4.6,231652,MICHAEL,DELANE
140,sales,0.999150412,2,medium,0.503040551,Employed,2,"Elkhart, California",EDUARDO GONZALEZ,40,3.6,231592,EDUARDO,GONZALEZ
212,support,0.789082021,3,low,0.725231676,Employed,4,"Minot, Oklahoma",YIFANG QIAN,27,4.8,231306,YIFANG,QIAN
156,marketing,0.502562826,3,low,0.635503289,Employed,5,"El Paso, Illinois",ROBERT WINSLOW,45,1.5,231104,ROBERT,WINSLOW
186,IT,0.859763957,3,medium,0.729667531,Employed,2,"Redondo Beach, Washington",LORRIE KALOS,20,4,230906,LORRIE,KALOS
162,sales,0.502258814,3,low,0.800482238,Employed,3,"San Mateo, North Dakota",EDWARD REISKIN,23,4.6,230827,EDWARD,REISKIN
158,support,0.543576313,2,low,0.352520083,Left,3,"Peabody, Florida",JEFFREY MYERS,22,4.4,230627,JEFFREY,MYERS
156,sales,,3,low,0.549054593,Employed,2,"Shreveport, California",JONATHAN BAXTER,37,4.9,230543,JONATHAN,BAXTER
283,IT,,3,low,0.550003652,Employed,3,"Tulsa, California",MICHAEL BRYANT,45,1.5,230459,MICHAEL,BRYANT
113,,0.51179362,4,low,0.632133264,Employed,3,"Lexington-Fayette, Illinois",KEVIN BARRY,43,1,230377,KEVIN,BARRY
214,IT,,4,low,0.969407787,Employed,2,"Waltham, Virginia",EVETTE GEER-STEVENS,20,4.3,230239,EVETTE,GEER-STEVENS
181,product,0.674893831,3,medium,0.547941154,Employed,3,"Mountain View, Colorado",MARY TSE,44,3,230149,MARY,TSE
140,support,0.801322765,4,low,0.526745455,Employed,3,"Meriden, North Carolina",MARK GONZALES,44,3.1,229060,MARK,GONZALES
184,engineering,0.91845009,4,low,0.914882605,Employed,3,"Waterloo, Idaho",DONNA MEIXNER,40,1.9,228615,DONNA,MEIXNER
168,sales,0.38962669,3,low,0.394051565,Employed,3,"Meridian, California",PETE FAY JR,25,4.4,228513,PETE,FAY
146,engineering,0.557437297,2,medium,0.471104659,Left,3,"Springdale, Wisconsin",JOHN MURPHY,43,2.5,228207,JOHN,MURPHY
251,engineering,0.871911091,4,medium,0.696053471,Employed,2,"Bellevue, Texas",REX HALE,46,2.3,227318,REX,HALE
219,support,1,5,low,0.734579415,Left,5,"North Miami Beach, South Carolina",MIVIC HIROSE,26,4,227180,MIVIC,HIROSE
170,product,0.518013684,2,low,0.352082286,Employed,3,"Mansfield, New Jersey",SARAH CARY,47,2.2,227080,SARAH,CARY
187,marketing,0.680370266,4,medium,0.189115472,Employed,5,"Marana, Utah",KEVIN SMITH,38,4.3,226357,KEVIN,SMITH
207,product,0.495033515,3,medium,0.576405945,Employed,3,"Springdale, Alabama",GREGORY STANGLAND,34,4,224439,GREGORY,STANGLAND
165,support,0.598530648,5,low,0.769536381,Employed,3,"Riverton, Texas",SONALI BOSE,40,2.3,224035,SONALI,BOSE
241,,0.766544821,3,low,0.851892327,Employed,3,"Livermore, Minnesota",KEVIN TAYLOR,34,4.4,223852,KEVIN,TAYLOR
139,engineering,,4,low,0.771816992,Employed,3,"Evansville, Montana",ERIKA HOO,34,4.8,223706,ERIKA,HOO
165,support,0.838420071,3,low,0.598248189,Employed,4,"Azusa, Florida",LAUIFI SEUMAALA,30,4,223360,LAUIFI,SEUMAALA
167,engineering,0.625649373,5,low,0.48711385,Employed,2,"Meridian, California",EDWARD DENNIS,43,2.5,222408,EDWARD,DENNIS
163,sales,0.927717667,4,medium,0.792414076,Employed,3,"Greenwood, Arkansas",PATRIC STEELE,29,4.7,222091,PATRIC,STEELE
161,,0.695097614,2,medium,0.611688697,Employed,5,"Coral Gables, California",MICHAEL WALSH,20,4.2,221188,MICHAEL,WALSH
271,IT,0.969304005,6,low,0.172048603,Left,4,"Tyler, Indiana",SAMSON LAI,38,4,221049,SAMSON,LAI
310,sales,0.858179169,7,medium,0.14712497,Left,4,"Surprise, North Carolina",ANA SAMPERA,27,4.3,220788,ANA,SAMPERA
257,support,0.725018809,4,low,0.762030408,Employed,3,"Casper, Florida",GLORIA GARCIA ORME,23,4.9,220788,GLORIA,GARCIA
278,sales,0.86223674,7,low,0.09798443,Left,4,"Modesto, Florida",SCOTT SCHOLZEN,32,4,220744,SCOTT,SCHOLZEN
229,engineering,0.630154828,3,medium,0.081563741,Employed,6,"Medford, Massachusetts",MARK SMITH,37,4,220410,MARK,SMITH
186,IT,0.560171576,3,medium,0.736063189,Employed,3,"Union City, Idaho",C PETRUZZELLA,43,3.7,220356,C,PETRUZZELLA
211,sales,0.947729025,4,high,0.355979751,Employed,7,"Oro Valley, Tennessee",JOHN HALEY JR,28,4,220352,JOHN,HALEY
248,management,,4,high,0.6236264,Employed,3,"Salinas, Texas",NELA PONFERRADA,21,4.5,220280,NELA,PONFERRADA
231,management,,3,high,0.745388743,Employed,2,"Orange, New York",CHARLES SCOTT,20,4.7,220246,CHARLES,SCOTT
266,sales,0.872041703,3,low,0.694190318,Employed,5,"Visalia, Wisconsin",LISETTE ADAMS,25,4.7,219932,LISETTE,ADAMS
135,engineering,0.451192122,2,low,0.39165186,Left,3,"Albany, Arizona",JACKSON WONG,42,2.5,219804,JACKSON,WONG
248,support,1,5,medium,0.700604106,Left,5,"Indio, Oregon",IRENE SUNG,44,3.1,219712,IRENE,SUNG
161,IT,0.725723556,4,low,0.785723887,Employed,3,"Ormond Beach, Illinois",KHAIRUL ALI,29,4.6,218793,KHAIRUL,ALI
212,product,0.872785534,3,medium,0.53186313,Employed,2,"Fremont, Michigan",LESLIE DUBBIN,40,3.7,218677,LESLIE,DUBBIN
103,,0.583870365,3,low,0.381824396,Employed,3,"Daly City, Indiana",MICHAEL CASTAGNOLA,39,4.8,218206,MICHAEL,CASTAGNOLA
160,sales,0.890712724,3,low,0.76176503,Employed,2,"Binghamton, Virginia",SHELLEY MITCHELL,36,4.2,217979,SHELLEY,MITCHELL
268,engineering,0.797235381,5,low,0.851411584,Employed,3,"Jonesboro, Texas",SEAN BONETTI,29,4.2,217962,SEAN,BONETTI
116,sales,0.845078319,4,low,0.309868647,Employed,3,"Arcadia, Florida",SUSAN ILNICKI,44,2.6,217810,SUSAN,ILNICKI
150,,0.559400039,2,low,0.444263577,Left,3,"Pittsburgh, Georgia",TYRONNE JULIAN,38,4.6,217572,TYRONNE,JULIAN
146,IT,0.500957306,2,low,0.411233749,Left,3,"Friendswood, California",SHARON FERRIGNO,49,3.5,217342,SHARON,FERRIGNO
215,IT,0.421692216,6,medium,0.606946726,Employed,3,"Blaine, New York",SHANNON SAKOWSKI,23,4.5,217144,SHANNON,SAKOWSKI
194,sales,0.534309122,5,high,0.969190798,Employed,2,"Corpus Christi, Idaho",JOHN HICKEY,27,4.1,216981,JOHN,HICKEY
200,product,0.425131894,5,medium,0.565407294,Employed,4,"Dearborn, Ohio",GLEN KOJIMOTO,40,2,216724,GLEN,KOJIMOTO
213,sales,0.770463824,3,high,0.543262177,Employed,3,"Port Orange, Tennessee",EDWARD CHU,49,2.2,216418,EDWARD,CHU
163,information_technology,0.905180515,3,low,0.93331322,Employed,2,"Warner Robins, Nevada",SOFIA MATHEWS,37,4.3,216270,SOFIA,MATHEWS
148,sales,0.473026924,2,low,0.443427764,Left,3,"Surprise, Illinois",EDMUND DEA,29,4.5,216176,EDMUND,DEA
245,product,0.506201223,2,medium,0.454911642,Employed,5,"Oak Lawn, Ohio",JOHN RAHAIM,47,2.6,215799,JOHN,RAHAIM
250,support,0.873045465,3,low,0.553442105,Left,2,"Waltham, California",WILLIAM ROUALDES,27,4.6,215413,WILLIAM,ROUALDES
250,sales,0.828825764,5,low,0.832955696,Employed,2,"Wylie, California",ZACHARY PUMPHREY,49,2.6,215396,ZACHARY,PUMPHREY
173,engineering,0.725963978,2,medium,0.452392398,Employed,2,"Pueblo, Illinois",MARK CASTAGNOLA,44,3.2,215355,MARK,CASTAGNOLA
248,sales,0.896942281,4,low,0.741786835,Employed,3,"Merced, Texas",NIKOLAS LEMOS,45,1.2,215318,NIKOLAS,LEMOS
158,management,0.635545736,5,medium,0.956238934,Employed,3,"Albany, California",MICHAEL CARLIN,33,4.9,215180,MICHAEL,CARLIN
196,support,0.840207779,4,low,0.468987246,Employed,2,"Muncie, California",JESSE SMITH,26,4.3,214988,JESSE,SMITH
265,procurement,0.626653132,3,low,0.90615931,Employed,8,"Lake Havasu City, Wisconsin",THERESE STEWART,49,3.3,214988,THERESE,STEWART
159,engineering,0.86812102,3,high,0.961235399,Employed,3,"Quincy, Georgia",MARISA MORET,25,4.1,214988,MARISA,MORET
262,sales,0.907731549,5,medium,0.972423058,Employed,3,"Southfield, New York",LUIS IBARRA-RIVERA,44,3.6,214955,LUIS,IBARRA-RIVERA
175,sales,0.403619418,3,medium,0.284677296,Employed,3,"Richardson, Ohio",GERALD DARCY,36,4.4,214944,GERALD,DARCY
278,sales,0.777881167,7,low,0.114724687,Left,4,"Flint, New Mexico",DONNIE HORNBUCKLE,37,4.4,214852,DONNIE,HORNBUCKLE
248,sales,0.85938383,5,low,0.933486377,Left,5,"Grand Junction, Rhode Island",SANDRA TONG,39,4.3,214815,SANDRA,TONG
275,product,0.52409506,3,low,0.63172969,Employed,2,"Danville, California",ANTHONY DUMONT,46,2,214185,ANTHONY,DUMONT
258,support,0.866158287,5,low,0.293123235,Employed,6,"Niagara Falls, California",THERESA DENTONI,31,4,214156,THERESA,DENTONI
253,engineering,1,5,medium,0.852952126,Left,5,"Burlington, New Jersey",TIM AREJA,24,4,213860,TIM,AREJA
165,support,0.643410637,4,low,0.161553642,Employed,5,"Portland, Pennsylvania",SIU-KWAN CHOW,34,4.2,213735,SIU-KWAN,CHOW
269,support,0.76736907,3,medium,0.248522035,Employed,4,"Covina, Colorado",PATRICIA CARR,45,2.4,213659,PATRICIA,CARR
148,finance,0.538478484,2,medium,0.467529517,Left,3,"Monterey Park, Texas",RASMI CHAN,20,4.3,213537,RASMI,CHAN
156,sales,0.950282238,4,low,0.672060063,Employed,2,"Wilmington, Kentucky",MICHAEL KEARNEY,35,4.4,212951,MICHAEL,KEARNEY
274,sales,0.811500421,4,low,0.839058814,Employed,2,"Midland, California",MATTHEW MCNAUGHTON,20,4.2,212857,MATTHEW,MCNAUGHTON
196,support,1,3,low,0.705585359,Employed,6,"Casa Grande, Texas",JOHN CAVANAUGH,23,4.9,212837,JOHN,CAVANAUGH
146,engineering,0.358995978,3,low,0.623106482,Employed,4,"West Covina, Indiana",WHITNEY YEE,38,4.7,212705,WHITNEY,YEE
274,sales,0.489904811,2,low,0.666894022,Left,4,"Hayward, California",STEVEN MANNINA,27,4,212650,STEVEN,MANNINA
139,marketing,0.519776983,2,low,0.37246341,Left,3,"Layton, Illinois",EDGAR CALLEJAS,40,2.4,212179,EDGAR,CALLEJAS
132,product,0.437142716,4,high,0.63120029,Employed,3,"Roswell, California",L MILITELLO,45,3.1,211710,L,MILITELLO
231,IT,0.615510631,5,medium,0.23703056,Employed,4,"Beaverton, New Jersey",MICHAEL BIEL,43,3.4,211596,MICHAEL,BIEL
254,sales,0.547034374,4,low,0.505421912,Left,4,"San Ramon, California",DEBRA JOHNSON,48,3.6,210821,DEBRA,JOHNSON
189,admin,0.539467271,4,low,0.831444386,Employed,4,"Alhambra, Texas",HAROLD BYRD,22,4.5,210635,HAROLD,BYRD
104,support,0.789125351,5,low,0.780337176,Employed,4,"San Mateo, California",KARL JURGENSON,41,1.9,210578,KARL,JURGENSON
254,marketing,0.870856423,4,low,0.82974563,Left,5,"Hoover, Georgia",JULIE LABONTE,27,4.1,210404,JULIE,LABONTE
253,sales,0.557354737,5,medium,0.729650605,Employed,6,"Chino Hills, Virginia",JOHN BRAGAGNOLO,35,4.4,210076,JOHN,BRAGAGNOLO
170,sales,0.661489035,2,low,0.486900105,Employed,8,"Anderson, Florida",OSCAR CABRERA,43,2.6,209889,OSCAR,CABRERA
195,sales,0.690941338,3,medium,0.872122928,Employed,3,"Olathe, Utah",MARTIEN VERHAEG,38,4.2,209805,MARTIEN,VERHAEG
255,management,0.560749082,5,medium,0.792703877,Employed,4,"Enid, California",THOMAS ALDANA,21,4,209762,THOMAS,ALDANA
194,engineering,0.864980948,4,medium,0.547342771,Employed,2,"Ontario, Connecticut",CARL JEPSEN,32,4.9,209716,CARL,JEPSEN
260,IT,0.879114108,5,low,0.789346881,Left,5,"Ann Arbor, Ohio",AMPARO RODRIGUEZ,36,4.5,209640,AMPARO,RODRIGUEZ
212,finance,0.420018285,4,low,0.371534724,Employed,2,"Philadelphia, California",WILLIAM SCOTT,36,4.2,209386,WILLIAM,SCOTT
219,marketing,,5,medium,0.933851071,Employed,2,"Bell Gardens, Nevada",GEORGE LYSENKO,39,4.1,209304,GEORGE,LYSENKO
187,management,0.960285715,4,high,0.681413303,Employed,3,"Naperville, Iowa",MICHAEL BROWNE,30,4,209213,MICHAEL,BROWNE
252,,0.778952707,4,medium,0.770546468,Employed,6,"Bozeman, California",HARRY PINKARD,31,4.4,209069,HARRY,PINKARD
281,sales,0.531936759,4,medium,0.190744826,Employed,7,"Victorville, California",ALBERTO PEDRUCO,27,4.3,209044,ALBERTO,PEDRUCO
163,IT,0.615938074,4,low,0.947393875,Employed,5,"Porterville, California",LAWRENCE LEE,44,3.8,208909,LAWRENCE,LEE
155,engineering,0.897609839,3,medium,0.94614471,Employed,3,"Jacksonville, Illinois",DWAYNE CURRY,29,4.8,208742,DWAYNE,CURRY
208,management,0.60280758,4,high,0.894854283,Employed,7,"Lima, Alabama",RENEE MARQUARDT,43,3.9,208703,RENEE,MARQUARDT
280,sales,0.948757982,6,low,0.152192723,Left,4,"Casper, California",HARVEY ELWIN,26,4.4,208385,HARVEY,ELWIN
137,sales,0.874794039,3,low,1,Employed,3,"Pembroke Pines, Rhode Island",LEON WHITE,39,4.3,208337,LEON,WHITE
242,information_technology,0.931466717,4,medium,0.63575761,Employed,2,"Apopka, Florida",DENNIS HERRERA,22,4.7,208243,DENNIS,HERRERA
229,sales,0.667988996,2,low,0.893746528,Employed,4,"Marlborough, Ohio",DONALD BRYANT,37,4.4,208208,DONALD,BRYANT
269,sales,0.87432046,6,low,0.041301712,Left,4,"Akron, Minnesota",NATHAN HARDY,43,3.7,208022,NATHAN,HARDY
173,,0.723364873,5,low,0.534218145,Employed,2,"Rock Island, Alabama",SUSAN BUCHBINDER,25,4.2,207874,SUSAN,BUCHBINDER
153,support,0.588430038,5,low,0.546394858,Left,4,"Ceres, Illinois",KIRSTEN BARASH,29,4,207855,KIRSTEN,BARASH
282,,0.981290494,6,medium,0.063589258,Left,4,"Cary, Idaho",DENNIS SUTTER,36,4.9,207815,DENNIS,SUTTER
233,support,0.543301857,4,low,0.581044903,Employed,4,"Little Rock, Massachusetts",JOHN BROWN,26,4.2,207798,JOHN,BROWN
275,support,0.396084595,3,low,0.218914617,Employed,5,"Schaumburg, Arizona",KATHRYN BALLOU,45,3.3,207707,KATHRYN,BALLOU
179,support,0.568593437,3,low,0.716163505,Employed,4,"Hollywood, Illinois",DONALD FIELDS,42,1.5,207703,DONALD,FIELDS
195,engineering,0.836247906,5,low,0.783391447,Employed,4,"Puyallup, Texas",LUIS HERRERA,35,4.2,207699,LUIS,HERRERA
206,marketing,0.582062894,2,low,0.784731507,Employed,2,"Redding, North Carolina",GEORGE FOURAS,36,4.5,207300,GEORGE,FOURAS
239,product,0.919373591,4,low,0.829871872,Left,5,"Baldwin Park, Utah",MARTIN LALOR JR,46,1.9,207277,MARTIN,LALOR
208,IT,0.816689814,4,low,0.834378675,Employed,3,"Newton, Indiana",GRAD GREEN,23,4.6,207220,GRAD,GREEN
150,engineering,0.676225844,3,medium,0.292929572,Employed,2,"Bullhead City, Illinois",DARCY KELLER,23,4.6,207087,DARCY,KELLER
219,engineering,,4,low,0.873812695,Employed,3,"Alpharetta, Minnesota",SAMUEL ROMERO,46,2.9,206975,SAMUEL,ROMERO
172,sales,,5,low,0.326353372,Left,2,"Cedar Park, California",ALEXANDER CHEN,34,4.8,206800,ALEXANDER,CHEN
201,finance,0.725670905,3,medium,0.750231784,Employed,4,"Newark, South Carolina",OLLIE BANKS,38,4.7,206769,OLLIE,BANKS
222,sales,0.964847579,5,medium,0.889826977,Employed,3,"Jacksonville, Massachusetts",BURK DELVENTHAL,36,4.5,206752,BURK,DELVENTHAL
228,sales,1,2,low,0.248174994,Employed,3,"Springfield, California",THOMAS HARVEY,47,3.1,206704,THOMAS,HARVEY
198,,0.954191046,2,low,0.583854409,Employed,2,"Charlottesville, Washington",MARTIN BELTRAN,48,2.8,206702,MARTIN,BELTRAN
146,marketing,0.505558308,2,low,0.420327396,Left,3,"Wausau, California",LORI BORGHI,31,4.5,206520,LORI,BORGHI
